OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,
00229700,MUSKEGON COMMUNITY COLLEGE,MI,494421432,Public,7,9,28450,30,28450,
00229900,NORTH CENTRAL MICHIGAN COLLEGE,MI,497708740,Public,15,15,75930,26,75930,
00230100,NORTHERN MICHIGAN UNIVERSITY,MI,498555316,Public,567,649,5499510,1103,5499510,
00230200,NORTHWESTERN MICHIGAN COLLEGE,MI,496863061,Public,113,116,1619528,208,1619528,
00230300,OAKLAND COMMUNITY COLLEGE,MI,483042266,Public,4,4,10393,8,10393,
00230700,OAKLAND UNIVERSITY,MI,483094830,Public,1488,1729,14255835,2922,14255835,
00230800,OLIVET COLLEGE,MI,490769902,Private-Nonprofit,206,216,2731176,422,2731176,
00231000,ST. CLAIR COUNTY COMMUNITY COLLEGE,MI,480603864,Public,5,6,18263,11,18263,
00231100,KUYPER COLLEGE,MI,495259749,Private-Nonprofit,15,16,127573,30,127573,
00231300,SACRED HEART MAJOR SEMINARY,MI,482061799,Private-Nonprofit,0,0,0,0,0,
00231400,SAGINAW VALLEY STATE UNIVERSITY,MI,487100001,Public,872,1022,7826908,1685,7826908,
00231500,SCHOOLCRAFT COLLEGE,MI,481522696,Public,0,0,0,0,0,
00231600,SIENA HEIGHTS UNIVERSITY,MI,492211796,Private-Nonprofit,266,292,2902221,543,2902221,
00231700,SOUTHWESTERN MICHIGAN COLLEGE,MI,490479793,Public,29,30,198871,106,198871,
00231800,SPRING ARBOR UNIVERSITY,MI,492839984,Private-Nonprofit,220,243,2230528,391,2230528,
00232200,FINLANDIA UNIVERSITY,MI,499301882,Private-Nonprofit,86,89,1015604,161,1015604,
00232300,UNIVERSITY OF DETROIT MERCY,MI,482213038,Private-Nonprofit,407,440,6443425,806,6443425,
00232500,UNIVERSITY OF MICHIGAN,MI,481091340,Public,1295,1553,26703735,2536,26703735,
00232600,UNIVERSITY OF MICHIGAN - DEARBORN,MI,481282406,Public,436,493,4107554,850,4107554,
00232700,UNIVERSITY OF MICHIGAN - FLINT,MI,485021950,Public,302,357,2620120,599,2620120,
00232800,WASHTENAW COMMUNITY COLLEGE,MI,481054800,Public,21,28,102563,53,102563,
00232900,WAYNE STATE UNIVERSITY,MI,482011306,Public,767,877,8266783,1583,8266783,
00233000,WESTERN MICHIGAN UNIVERSITY,MI,490083899,Public,2132,2703,29400064,4613,29386347,
00233100,WESTERN THEOLOGICAL SEMINARY,MI,494233622,Private-Nonprofit,0,0,0,0,0,
00233200,ANOKA-RAMSEY COMMUNITY COLLEGE,MN,554333499,Public,5,6,23388,8,23388,
00233400,AUGSBURG UNIVERSITY,MN,554541351,Private-Nonprofit,246,324,3681971,524,3681971,
00233500,RIVERLAND COMMUNITY COLLEGE,MN,559121473,Public,6,7,34900,14,34900,
00233600,BEMIDJI STATE UNIVERSITY,MN,566012699,Public,118,135,978341,221,978341,
00233700,BETHANY LUTHERAN COLLEGE,MN,560016163,Private-Nonprofit,19,19,185331,35,185331,
00233900,CENTRAL LAKES COLLEGE,MN,564013900,Public,11,14,82859,27,82859,
00234000,CARLETON COLLEGE,MN,550574001,Private-Nonprofit,56,60,977723,172,977723,
00234100,COLLEGE OF ST BENEDICT,MN,563742099,Private-Nonprofit,104,126,1471255,228,1471255,
