OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00205300,UNIVERSITY OF MAINE,ME,044690001,PUBLIC,446,490,2977609,860,2864370
00205400,UNIVERSITY OF SOUTHERN MAINE,ME,041044864,PUBLIC,348,390,2447850,703,2288040
00205500,UNIVERSITY OF MAINE - MACHIAS,ME,046541397,PUBLIC,26,28,170794,44,162481
00520400,BEAL COLLEGE,ME,044016896,PROPRIETARY,5,6,13511,17,12310
00527600,CENTRAL MAINE COMMUNITY COLLEGE,ME,042106498,PUBLIC,25,26,122267,46,118809
00527700,EASTERN MAINE COMMUNITY COLLEGE,ME,044014280,PUBLIC,22,22,123413,41,114773
00552500,SOUTHERN MAINE COMMUNITY COLLEGE,ME,041061698,PUBLIC,32,34,159720,63,155020
00576000,NORTHERN MAINE COMMUNITY COLLEGE,ME,047692016,PUBLIC,24,24,105302,47,100511
00630500,CENTRAL MAINE MEDICAL CENTER,ME,042404500,PRIVATE,1,1,4000,1,4000
00676000,UNIVERSITY OF MAINE - AUGUSTA,ME,043309410,PUBLIC,9,10,27342,17,24342
00685800,UNITY COLLEGE,ME,049889502,PRIVATE,62,64,543055,114,499102
00923100,WASHINGTON COUNTY COMMUNITY COLLEGE,ME,046199704,PUBLIC,9,9,38402,14,36021
00929200,ANDOVER COLLEGE,ME,041062415,PROPRIETARY,24,31,170560,55,157391
00982600,KENNEBEC VALLEY COMMUNITY COLLEGE,ME,049371367,PUBLIC,1,1,3000,2,3000
01138500,COLLEGE OF THE ATLANTIC,ME,046091105,PRIVATE,41,43,526272,102,469352
01167300,MAINE COLLEGE OF ART,ME,041013987,PRIVATE,52,53,582840,95,539768
02104400,SPA TECH INSTITUTE,ME,041021042,PROPRIETARY,13,13,79125,19,74987
02347100,NEW ENGLAND SCHOOL OF COMMUNICATIONS,ME,044012999,PRIVATE,57,61,388916,110,367703
02361300,LANDING SCHOOL OF BOATBUILDING AND DESIGN,ME,040461490,PRIVATE,5,5,90360,10,90360
03122900,YORK COUNTY COMMUNITY COLLEGE,ME,040900529,PUBLIC,3,4,8963,6,6651
03429300,SEACOAST CAREER SCHOOLS,ME,040730000,PROPRIETARY,2,2,9585,4,9585
03612300,BIRTHWISE MIDWIFERY SCHOOL,ME,040091110,PROPRIETARY,0,0,0,0,0
00223400,ADRIAN COLLEGE,MI,492212575,PRIVATE,114,121,915108,214,856754
00223500,ALBION COLLEGE,MI,492241831,PRIVATE,89,97,818127,177,795383
00223700,ALPENA COMMUNITY COLLEGE,MI,497071495,PUBLIC,4,4,11600,6,11600
00223800,ANDREWS UNIVERSITY,MI,491040750,PRIVATE,1,1,13410,1,13410
00223900,AQUINAS COLLEGE,MI,495061799,PRIVATE,71,74,456958,135,442610
00224000,BAY DE NOC COMMUNITY COLLEGE,MI,498292524,PUBLIC,0,0,0,0,0
00224200,CALVIN THEOLOGICAL SEMINARY,MI,495464387,PRIVATE,0,0,0,0,0
00224600,CLEARY UNIVERSITY,MI,481052659,PRIVATE,22,23,125075,55,119242
00224700,CONCORDIA UNIVERSITY,MI,481052797,PRIVATE,36,39,276933,67,272708
